timestamp,source_ip,destination_ip,source_port,destination_port,protocol,bytes_transferred,anomaly_label
2024-08-24 15:07:13,243.160.42.148,235.89.168.208,38600,30515,UDP,188,0
2024-08-25 07:31:51,140.143.255.247,95.29.65.34,39877,20214,UDP,2064,0
2024-08-30 16:47:40,176.214.225.79,47.198.18.163,45639,48355,TCP,4163,0
2024-08-20 16:35:09,155.92.151.115,120.121.183.64,20219,25003,TCP,318,1
2024-08-08 10:32:32,248.93.21.224,182.141.40.171,1190,31048,ICMP,13491,0
2024-08-02 08:57:02,36.199.204.248,88.4.192.248,31864,18610,TCP,1020,0
2024-08-27 06:29:58,123.149.207.130,221.40.191.201,61585,60087,ICMP,10507,0
2024-08-13 14:23:04,97.167.36.142,225.122.139.193,46829,37338,TCP,10858,0
2024-08-09 04:35:02,65.182.68.9,48.79.196.212,46199,41683,TCP,7592,0
2024-08-01 13:25:07,165.11.201.167,10.123.126.76,47362,2699,UDP,13696,0
2024-08-05 07:06:06,39.26.250.83,232.135.89.169,1699,27571,TCP,985,0
2024-08-16 01:27:14,56.19.35.177,67.60.85.13,35225,50970,ICMP,9246,0
2024-08-02 10:54:18,173.209.241.93,208.182.125.23,52708,51308,ICMP,7861,0
2024-08-25 00:16:05,1.193.242.52,156.148.198.217,36046,41382,ICMP,6116,0
2024-08-09 01:14:26,8.240.197.134,209.207.225.52,12674,42110,TCP,9475,0
2024-08-05 07:34:49,37.96.187.240,173.56.228.130,25759,8730,UDP,14451,0
2024-08-12 10:06:52,191.194.154.152,132.71.5.200,62728,7482,ICMP,9980,0
2024-08-18 05:12:53,28.91.109.175,183.78.227.86,29947,53188,TCP,4353,0
2024-08-02 02:11:53,217.81.17.108,134.56.87.207,1637,31032,UDP,12747,0
2024-08-13 05:02:53,234.201.130.232,60.217.21.223,43926,40636,TCP,11921,0
2024-08-19 04:26:15,178.87.254.72,22.184.67.161,50380,4324,TCP,14663,0
2024-08-17 06:41:17,10.240.17.43,252.199.144.123,12767,63287,UDP,12209,0
2024-08-20 07:00:53,142.158.133.222,212.14.156.149,58334,46115,UDP,9589,1
2024-08-07 12:55:33,62.253.230.83,95.166.65.157,26544,21373,ICMP,13787,1
2024-08-02 06:00:58,210.101.38.51,96.249.148.239,47467,29025,ICMP,5810,0
2024-08-30 22:16:23,115.29.194.163,137.236.157.231,42234,29058,UDP,11009,0
2024-08-01 16:11:05,129.23.16.171,117.205.248.54,3547,60690,ICMP,6271,0
2024-08-16 12:49:38,237.14.68.65,72.193.148.80,33578,3858,ICMP,3677,0
2024-08-14 05:23:48,5.25.45.217,242.80.172.105,56129,59263,TCP,6283,1
2024-08-30 14:03:00,162.56.199.192,158.119.55.89,57258,13832,ICMP,14847,0
2024-08-15 22:48:42,9.74.164.8,135.45.151.108,1278,42318,ICMP,2901,0
2024-08-25 13:36:47,222.196.214.120,223.40.8.57,34041,61721,UDP,3467,0
2024-08-22 11:55:57,228.139.235.58,30.203.135.100,7312,56678,TCP,2613,0
2024-08-03 15:47:09,117.198.33.165,165.145.90.30,63333,45547,UDP,12729,0
2024-08-15 07:31:26,92.124.192.157,56.138.251.178,30216,1695,UDP,3508,0
2024-08-22 18:29:24,58.177.144.0,64.30.190.179,52844,36992,TCP,12127,0
2024-08-01 22:32:31,35.25.27.253,182.47.197.112,11596,44562,TCP,11096,0
2024-08-13 21:20:24,187.174.135.144,216.75.29.137,51398,24979,ICMP,4392,0
2024-08-27 06:50:03,43.31.80.33,188.39.163.192,36679,43352,UDP,9472,0
2024-08-15 21:33:29,174.139.67.44,78.89.225.72,18365,34136,ICMP,2678,0
2024-08-05 22:49:49,240.149.44.255,88.139.172.206,29396,39690,TCP,9064,0
2024-08-24 02:26:03,77.129.193.107,23.223.76.119,4441,32940,UDP,6703,0
2024-08-30 18:42:32,201.51.65.154,13.132.93.141,35660,9202,UDP,14267,0
2024-08-08 12:17:36,35.158.31.56,153.29.169.150,31415,49597,TCP,13412,0
2024-08-01 19:32:02,156.248.149.227,180.33.208.39,63603,24917,ICMP,14353,0
2024-08-30 05:22:07,132.95.255.83,81.31.127.155,11384,17460,UDP,4127,0
