timestamp,event_type,source,severity_level,anomaly_label
2024-08-09 20:25:06,file_modification,application,medium,0
2024-08-14 20:19:31,user_creation,application,low,0
2024-08-01 14:49:25,file_modification,user,high,0
2024-08-17 12:11:32,user_creation,user,low,0
2024-08-20 03:05:27,user_creation,application,high,0
2024-08-07 17:00:03,user_creation,user,medium,0
2024-08-23 07:23:01,user_creation,system,medium,0
2024-08-25 09:42:19,file_modification,system,high,0
2024-08-01 04:45:29,user_creation,application,low,0
2024-08-30 16:59:42,file_modification,user,high,0
2024-08-26 09:44:02,file_modification,user,low,0
2024-08-20 13:57:47,file_modification,application,medium,0
2024-08-11 08:52:50,user_creation,user,high,0
2024-08-10 17:50:26,file_modification,application,high,0
2024-08-11 06:05:34,process_start,system,high,0
2024-08-23 16:14:25,user_creation,application,medium,0
2024-08-08 05:35:21,process_start,application,medium,0
2024-08-19 04:13:47,user_creation,application,high,0
2024-08-23 05:15:23,file_modification,user,medium,0
2024-08-15 09:10:33,file_modification,application,high,0
2024-08-27 15:33:11,user_creation,application,high,0
2024-08-24 22:06:10,file_modification,system,low,0
2024-08-09 04:57:20,process_start,user,medium,0
2024-08-29 14:41:49,user_creation,system,low,0
2024-08-08 18:46:34,process_start,user,medium,0
2024-08-20 11:25:29,process_start,system,high,0
2024-08-02 01:38:02,file_modification,application,high,0
2024-08-09 21:38:09,file_modification,application,high,0
2024-08-30 10:13:21,process_start,system,low,0
2024-08-07 03:15:07,process_start,system,medium,0
2024-08-13 19:50:19,file_modification,application,medium,0
2024-08-12 06:07:35,user_creation,system,medium,0
2024-08-13 02:39:26,process_start,application,low,0
2024-08-03 02:03:32,user_creation,user,high,0
2024-08-11 14:41:45,user_creation,application,medium,0
2024-08-01 17:14:16,process_start,user,high,0
2024-08-18 12:59:24,file_modification,user,medium,0
2024-08-12 18:28:24,file_modification,system,medium,0
2024-08-14 09:04:18,process_start,system,high,0
2024-08-29 00:48:47,process_start,system,medium,0
2024-08-08 00:45:18,process_start,application,low,0
2024-08-30 05:03:37,file_modification,system,low,0
2024-08-22 20:13:45,process_start,user,low,0
2024-08-01 06:07:59,file_modification,system,low,0
2024-08-13 13:36:05,file_modification,user,low,0
2024-08-06 13:28:47,process_start,application,high,0
2024-08-28 09:18:54,user_creation,application,low,0
2024-08-28 18:44:21,file_modification,system,high,0
2024-08-28 05:19:41,user_creation,system,medium,0
2024-08-25 15:12:04,file_modification,user,high,0
2024-08-29 01:56:30,user_creation,system,medium,0
2024-08-30 20:06:04,process_start,system,medium,0
2024-08-15 09:02:36,user_creation,application,high,0
2024-08-10 04:22:29,user_creation,user,high,0
2024-08-16 09:56:52,user_creation,application,low,0
2024-08-08 02:38:27,file_modification,system,low,0
2024-08-25 22:57:17,user_creation,user,high,0
2024-08-27 05:01:50,user_creation,user,medium,0
2024-08-22 01:47:14,user_creation,user,medium,0
2024-08-01 17:24:07,file_modification,application,high,0
2024-08-21 03:40:30,file_modification,user,high,0
2024-08-24 19:17:03,file_modification,application,high,0
2024-08-01 22:43:37,file_modification,user,high,0
2024-08-10 05:12:10,file_modification,system,high,0
2024-08-18 12:51:21,process_start,application,low,0
2024-08-08 08:46:57,process_start,user,medium,1
2024-08-10 14:15:43,process_start,user,medium,0
2024-08-08 01:08:48,user_creation,application,medium,0
2024-08-25 19:53:55,process_start,application,high,0
2024-08-25 13:54:26,process_start,application,medium,0
2024-08-15 14:52:20,file_modification,application,high,0
2024-08-03 05:52:57,file_modification,system,low,0
2024-08-06 21:17:04,file_modification,user,low,0
2024-08-05 14:01:30,file_modification,application,high,0
2024-08-05 19:02:25,user_creation,user,high,0
2024-08-17 23:49:36,process_start,application,low,0
2024-08-18 06:06:43,user_creation,user,medium,0
2024-08-19 04:03:50,process_start,system,medium,0
2024-08-23 22:50:58,file_modification,application,high,0
2024-08-25 19:27:47,file_modification,system,high,0
2024-08-20 17:13:50,process_start,system,low,0
2024-08-27 15:36:08,user_creation,application,medium,0
2024-08-14 23:12:00,user_creation,user,high,0
2024-08-19 22:52:09,user_creation,application,medium,0
2024-08-15 18:29:49,process_start,application,low,0
2024-08-16 09:19:38,file_modification,user,high,1
2024-08-24 00:02:53,file_modification,application,medium,0
2024-08-15 17:11:53,file_modification,user,low,0
2024-08-21 04:25:27,process_start,system,high,0
2024-08-23 20:20:20,file_modification,application,medium,0
2024-08-01 18:44:09,user_creation,application,medium,0
2024-08-25 00:24:08,process_start,user,medium,0
2024-08-13 16:56:19,process_start,user,medium,0
2024-08-09 05:47:16,user_creation,user,low,0
2024-08-25 09:07:37,file_modification,application,low,0
2024-08-28 01:11:00,user_creation,user,low,0
2024-08-15 05:50:26,file_modification,user,medium,0
2024-08-02 12:32:54,file_modification,system,high,0
